state,county,NAME,median_age,pop_white,pop_black,pop_hispanic
31,177,"Washington County, Nebraska",41.4,96.9,1.2,2.9
31,015,"Boyd County, Nebraska",52.3,95.5,0.4,0.7
31,031,"Cherry County, Nebraska",43.6,91.4,0.0,3.1
31,053,"Dodge County, Nebraska",39.0,94.2,0.9,12.3
31,059,"Fillmore County, Nebraska",47.7,97.0,0.6,3.9
31,069,"Garden County, Nebraska",50.3,98.3,0.2,4.4
31,091,"Hooker County, Nebraska",55.9,98.7,0.9,3.0
31,123,"Morrill County, Nebraska",42.5,95.2,0.8,15.5
31,127,"Nemaha County, Nebraska",39.3,96.1,1.5,2.7
31,159,"Seward County, Nebraska",37.9,96.2,0.5,2.7
31,171,"Thomas County, Nebraska",41.1,97.7,0.0,0.5
31,043,"Dakota County, Nebraska",33.8,68.9,4.7,38.5
31,181,"Webster County, Nebraska",45.2,95.2,0.3,4.9
31,003,"Antelope County, Nebraska",45.3,97.6,0.8,3.2
31,023,"Butler County, Nebraska",43.9,96.7,0.4,3.2
31,035,"Clay County, Nebraska",42.5,96.7,0.1,9.0
31,041,"Custer County, Nebraska",43.2,96.8,0.2,3.0
31,067,"Gage County, Nebraska",44.0,96.5,0.7,2.4
31,081,"Hamilton County, Nebraska",41.5,96.3,0.5,3.2
31,099,"Kearney County, Nebraska",40.1,96.5,0.1,6.1
31,101,"Keith County, Nebraska",49.5,96.3,0.9,7.0
31,119,"Madison County, Nebraska",36.8,91.6,1.5,14.8
31,135,"Perkins County, Nebraska",42.7,98.9,0.3,4.0
31,155,"Saunders County, Nebraska",40.8,97.4,0.3,2.2
31,179,"Wayne County, Nebraska",31.8,95.1,1.8,5.8
31,103,"Keya Paha County, Nebraska",45.4,98.5,0.0,1.0
31,107,"Knox County, Nebraska",46.9,86.8,0.3,2.6
31,111,"Lincoln County, Nebraska",40.3,95.2,1.4,8.3
31,139,"Pierce County, Nebraska",41.5,97.5,0.2,1.7
31,165,"Sioux County, Nebraska",47.0,91.9,0.5,0.5
31,025,"Cass County, Nebraska",41.6,96.3,0.6,3.2
31,051,"Dixon County, Nebraska",42.0,94.3,0.3,13.3
31,057,"Dundy County, Nebraska",42.3,99.2,0.2,15.7
31,077,"Greeley County, Nebraska",45.7,97.5,0.5,2.1
31,079,"Hall County, Nebraska",36.0,87.7,2.5,27.2
31,131,"Otoe County, Nebraska",41.5,94.7,0.4,7.8
31,145,"Red Willow County, Nebraska",41.1,96.2,0.7,5.0
31,045,"Dawes County, Nebraska",34.9,89.2,1.9,5.0
31,033,"Cheyenne County, Nebraska",41.0,95.5,0.1,6.8
31,047,"Dawson County, Nebraska",35.9,88.5,6.2,33.1
31,117,"McPherson County, Nebraska",50.9,95.8,0.0,2.0
31,125,"Nance County, Nebraska",44.3,99.0,0.5,2.7
31,167,"Stanton County, Nebraska",41.2,97.0,1.4,5.3
31,175,"Valley County, Nebraska",45.5,98.2,0.5,3.1
31,083,"Harlan County, Nebraska",47.9,95.5,0.8,3.9
31,009,"Blaine County, Nebraska",46.6,100.0,0.0,0.0
31,019,"Buffalo County, Nebraska",33.3,92.2,1.1,8.8
31,049,"Deuel County, Nebraska",47.0,94.5,0.2,7.8
31,087,"Hitchcock County, Nebraska",46.8,99.6,0.1,1.1
31,141,"Platte County, Nebraska",38.5,95.4,0.5,18.4
31,169,"Thayer County, Nebraska",47.0,97.1,0.5,2.3
31,013,"Box Butte County, Nebraska",40.7,91.8,0.4,12.4
32,001,"Churchill County, Nevada",39.5,84.1,2.4,13.6
32,005,"Douglas County, Nevada",51.5,89.3,0.7,12.5
32,027,"Pershing County, Nevada",43.4,81.2,4.4,24.2
32,009,"Esmeralda County, Nevada",48.3,94.9,1.1,19.0
32,013,"Humboldt County, Nevada",35.6,87.6,0.4,26.7
32,021,"Mineral County, Nevada",50.1,66.9,2.5,12.1
32,033,"White Pine County, Nevada",39.2,85.6,5.3,15.6
32,007,"Elko County, Nevada",33.9,86.4,0.6,24.2
32,017,"Lincoln County, Nevada",45.2,89.2,3.7,8.5
32,023,"Nye County, Nevada",52.7,83.0,2.4,14.4
32,029,"Storey County, Nevada",52.9,89.3,0.8,5.2
32,031,"Washoe County, Nevada",38.1,78.8,2.3,24.2
32,003,"Clark County, Nevada",37.1,60.7,11.5,30.9
32,510,"Carson City, Nevada",42.8,80.3,1.8,23.7
32,019,"Lyon County, Nevada",44.1,85.2,1.0,16.6
33,005,"Cheshire County, New Hampshire",42.7,95.3,0.8,1.8
33,013,"Merrimack County, New Hampshire",42.8,94.2,1.3,2.1
33,009,"Grafton County, New Hampshire",42.9,92.5,1.2,2.3
33,015,"Rockingham County, New Hampshire",44.3,94.8,0.8,2.9
33,001,"Belknap County, New Hampshire",47.1,96.5,0.7,1.6
33,019,"Sullivan County, New Hampshire",46.1,96.4,0.8,1.5
33,011,"Hillsborough County, New Hampshire",40.5,89.7,2.8,6.5
33,017,"Strafford County, New Hampshire",36.9,92.8,0.9,2.3
33,007,"Coos County, New Hampshire",48.1,93.9,2.9,2.9
33,003,"Carroll County, New Hampshire",51.7,97.2,0.5,1.4
34,025,"Monmouth County, New Jersey",43.2,82.4,7.1,10.7
34,037,"Sussex County, New Jersey",44.5,92.9,2.3,7.8
34,011,"Cumberland County, New Jersey",37.2,67.2,19.3,30.2
34,013,"Essex County, New Jersey",37.5,42.1,39.8,22.7
34,029,"Ocean County, New Jersey",42.9,91.2,3.1,9.1
34,015,"Gloucester County, New Jersey",40.3,81.7,10.3,5.9
34,033,"Salem County, New Jersey",42.0,80.7,13.2,8.6
34,031,"Passaic County, New Jersey",37.0,62.2,11.4,40.9
34,007,"Camden County, New Jersey",38.7,63.2,19.3,16.4
34,003,"Bergen County, New Jersey",41.8,71.4,6.0,19.4
34,041,"Warren County, New Jersey",44.0,88.8,4.4,8.9
34,017,"Hudson County, New Jersey",35.1,55.1,12.4,43.2
34,005,"Burlington County, New Jersey",41.5,72.2,16.7,7.8
34,027,"Morris County, New Jersey",42.6,81.7,3.4,13.1
35,039,"Rio Arriba County, New Mexico",40.6,54.4,0.6,71.4
35,047,"San Miguel County, New Mexico",43.2,55.3,1.3,77.6
35,057,"Torrance County, New Mexico",43.6,91.6,1.8,42.8
35,035,"Otero County, New Mexico",35.6,78.4,3.6,38.0
35,006,"Cibola County, New Mexico",36.8,46.8,1.1,38.2
35,019,"Guadalupe County, New Mexico",42.6,82.3,1.3,78.4
35,003,"Catron County, New Mexico",59.1,99.0,0.0,17.9
35,029,"Luna County, New Mexico",37.8,91.5,1.4,66.6
35,031,"McKinley County, New Mexico",32.0,15.0,0.7,14.3
35,055,"Taos County, New Mexico",48.2,85.2,0.5,57.0
35,017,"Grant County, New Mexico",45.8,93.6,0.7,50.3
35,007,"Colfax County, New Mexico",49.0,86.4,0.5,49.4
35,015,"Eddy County, New Mexico",35.3,91.0,1.6,48.4
35,033,"Mora County, New Mexico",49.2,58.8,0.0,81.1
35,037,"Quay County, New Mexico",43.8,90.2,1.5,45.2
35,027,"Lincoln County, New Mexico",51.0,93.6,0.9,32.7
35,025,"Lea County, New Mexico",31.7,88.6,3.9,57.9
35,049,"Santa Fe County, New Mexico",45.8,83.5,1.0,51.3
35,051,"Sierra County, New Mexico",56.0,89.9,0.6,30.3
35,053,"Socorro County, New Mexico",39.2,78.3,0.4,49.7
35,013,"Do�a Ana County, New Mexico",32.9,87.9,1.9,68.0
36,095,"Schoharie County, New York",45.1,95.7,1.7,3.1
36,067,"Onondaga County, New York",39.0,79.9,11.4,4.8
36,019,"Clinton County, New York",39.3,90.8,4.3,2.9
36,099,"Seneca County, New York",42.2,91.5,4.9,3.3
36,079,"Putnam County, New York",44.1,87.7,2.9,14.3
36,033,"Franklin County, New York",40.6,82.4,5.8,3.5
36,069,"Ontario County, New York",43.5,92.7,2.5,4.6
36,081,"Queens County, New York",38.7,39.0,18.3,28.0
36,101,"Steuben County, New York",42.6,94.9,1.6,1.6
36,041,"Hamilton County, New York",54.0,96.6,0.8,1.6
36,115,"Washington County, New York",44.0,93.8,3.3,2.7
36,013,"Chautauqua County, New York",42.5,92.4,2.6,7.4
36,047,"Kings County, New York",35.1,43.5,32.6,19.2
36,061,"New York County, New York",37.3,56.2,14.8,26.0
36,107,"Tioga County, New York",44.0,96.6,0.7,1.9
36,011,"Cayuga County, New York",42.7,91.9,4.3,2.9
36,073,"Orleans County, New York",43.2,88.8,6.2,4.8
36,091,"Saratoga County, New York",42.6,92.9,1.7,3.1
36,087,"Rockland County, New York",36.1,70.7,12.3,17.4
36,021,"Columbia County, New York",47.8,89.2,4.4,4.6
36,049,"Lewis County, New York",42.0,96.7,0.8,1.7
36,063,"Niagara County, New York",43.2,87.5,7.2,2.9
36,119,"Westchester County, New York",40.8,65.1,14.7,24.3
36,025,"Delaware County, New York",47.5,94.7,1.8,3.8
36,031,"Essex County, New York",47.0,93.2,3.1,3.0
36,057,"Montgomery County, New York",41.4,87.8,2.0,13.7
36,059,"Nassau County, New York",41.6,68.6,11.7,16.6
36,085,"Richmond County, New York",40.0,74.3,10.2,18.3
36,097,"Schuyler County, New York",46.2,96.4,1.2,1.7
